"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model","sensor_config","C","gamma","kernel","max_depth","max_iter","multi_class","n_estimators","n_neighbors","random_state","solver","generalization_gap","test_accuracy","test_f1","train_accuracy","train_f1"
"naive_bayes_fused_2dc713","finished","-","","","2025-08-10T22:54:25.000Z","2","","naive_bayes","fused","","","","","","","","","","","-0.0015674079577061573","0.7404139803189684","0.7344024735544431","0.7388465723612623","0.7357268052762128"
"naive_bayes_gyro_294e74","finished","-","","","2025-08-10T22:54:22.000Z","2","","naive_bayes","gyro","","","","","","","","","","","-0.010413939702978992","0.5120461486257211","0.4661202030789531","0.5016322089227421","0.4577647531052496"
"naive_bayes_accel_00ce80","finished","-","","","2025-08-10T22:54:20.000Z","2","","naive_bayes","accel","","","","","","","","","","","-0.01935282666978788","0.7882592466915507","0.7786485257254637","0.7689064200217628","0.7653679314499557"
"extra_trees_classifier_fused_5a0538","finished","-","","","2025-08-10T22:54:12.000Z","7","","extra_trees_classifier","fused","","","","10","","","200","","42","","0.06369348700454491","0.9209365456396336","0.9200089896100564","0.9846300326441784","0.984601334332457"
"extra_trees_classifier_fused_04b0ee","finished","-","","","2025-08-10T22:54:07.000Z","5","","extra_trees_classifier","fused","","","","10","","","100","","42","","0.06464417808560596","0.9202578893790296","0.9193094540308048","0.9849020674646356","0.9848787721710436"
"extra_trees_classifier_gyro_88f4e5","finished","-","","","2025-08-10T22:54:00.000Z","6","","extra_trees_classifier","gyro","","","","10","","","200","","42","","0.15262759605404586","0.7818120122158126","0.7791136653620737","0.9344396082698584","0.9344670973391114"
"extra_trees_classifier_gyro_b49e67","finished","-","","","2025-08-10T22:53:56.000Z","4","","extra_trees_classifier","gyro","","","","10","","","100","","42","","0.14637794913622715","0.7852052935188327","0.7829818772875107","0.93158324265506","0.9316043687736496"
"extra_trees_classifier_accel_e120ad","finished","-","","","2025-08-10T22:53:50.000Z","6","","extra_trees_classifier","accel","","","","10","","","200","","42","","0.08700406492207446","0.8808958262639973","0.8796090766946698","0.9678998911860718","0.9677702140392442"
"extra_trees_classifier_accel_7490ac","finished","-","","","2025-08-10T22:53:46.000Z","4","","extra_trees_classifier","accel","","","","10","","","100","","42","","0.08279181757660636","0.8829317950458093","0.8818720082385108","0.9657236126224156","0.965578371047642"
"random_forest_classifier_fused_09bc98","finished","-","","","2025-08-10T22:53:12.000Z","33","","random_forest_classifier","fused","","","","10","","","200","","42","","0.06799448951793619","0.9287410926365796","0.9283829301694853","0.9967355821545156","0.9967345723243572"
"random_forest_classifier_fused_a5b8ee","finished","-","","","2025-08-10T22:52:52.000Z","19","","random_forest_classifier","fused","","","","10","","","100","","42","","0.0681290761376262","0.9280624363759756","0.927688579819087","0.9961915125136016","0.9961901890396578"
"random_forest_classifier_gyro_6d0ca3","finished","-","","","2025-08-10T22:52:27.000Z","25","","random_forest_classifier","gyro","","","","10","","","200","","42","","0.1721768564184155","0.7964031218187988","0.7939414791244828","0.9685799782372144","0.9687073042874176"
"random_forest_classifier_gyro_40aa37","finished","-","","","2025-08-10T22:52:13.000Z","14","","random_forest_classifier","gyro","","","","10","","","100","","42","","0.17672127794149306","0.7906345436036647","0.7883832830227392","0.9673558215451578","0.967470566106946"
"random_forest_classifier_accel_d5347c","finished","-","","","2025-08-10T22:51:44.000Z","28","","random_forest_classifier","accel","","","","10","","","200","","42","","0.10204901205297943","0.8880217170003394","0.887875514052768","0.9900707290533188","0.9900632754471764"
